Month,PnL
2023-01,0.0
2023-02,-54.76
2023-03,220.5
2023-04,-0.3400000000000034
2023-05,-44.730000000000004
2023-06,13.829999999999998
2023-07,37.56999999999999
2023-08,-32.28
2023-09,27.75
2023-10,28.159999999999997
2023-11,62.829999999999984
2023-12,36.18000000000001
2024-01,48.129999999999995
2024-02,-3.17999999999995
2024-03,0.0
2024-04,-0.36000000000001364
2024-05,67.64999999999998
2024-06,87.43
2024-07,52.889999999999986
2024-08,0.0
2024-09,81.13
2024-10,39.379999999999995
2024-11,10.290000000000077
2024-12,47.18999999999994
2025-01,16.120000000000005
2025-02,-18.41999999999996
2025-03,160.31999999999994
2025-04,0.0
2025-05,0.0
2025-06,-3.8600000000000136
2025-07,64.04000000000008
2025-08,127.83999999999992
2025-09,0.0
2025-10,0.0
2025-11,0.0
2025-12,0.0
